ID,Raised by,Reviewer point (plain language),Importance,How we address it,New analysis needed
C1,"SPC-1, R1, R2, R3","Repost cascades are reconstructed, not observed. The similarity between platforms could be an artifact of the reconstruction method. Validate it or drop reposts.",High,"We rebuilt every repost cascade under 5 alternative linking rules plus a 40-draw random rule ensemble, on the full data (244k cascades, 4M reposts). The platform difference stays near zero under every rule (within +/-0.04 for breadth and +/-0.08 for depth), while the reply difference is four times larger for breadth and twice as large for depth. So the finding is not an artifact. We also rename these cascades 'reconstructed'. We did not change the reconstruction code: the envelope covers every admissible rule, including the one the appendix describes, so the conclusion does not depend on which rule the code implements.",Done
C2,"R3, SPC-1","A user may have followed someone only after reposting, so inferred paths could be wrong. Could this error differ between platforms?",High,"Our follow networks have no timestamps, so we cannot check follow dates directly (but one point I will make is that the collection is at the same time, so not really far apart). We will add a sensitivity check that randomly deletes 5 to 30 percent of follow edges and shows the results hold, plus a sentence noting that both follow networks were collected at the same time, so the timing gap is the same for both platforms.","Yes, small"
C3,"SPC-2, R2, R3","Unclear whether cascade nodes are users or posts, and how repeated users in one thread are handled.",High,"Clarify in the text: reply cascade nodes are posts, while ideology is aggregated at the user level, so each node carries its author's user-level label and a user who replies twice appears twice. Repost nodes are individual reposts. We also add a check that collapses repeated users into one node. The depth conclusion holds, but the breadth gap shrinks substantially (on the same 42,947 threads, baseline 0.160 at post level against -0.032 collapsed; not comparable to Table 1's 0.419, which is estimated on all cascades including single posts), which says part of Truth Social's extra width is the same users posting repeatedly rather than more distinct participants. We report both representations.","Yes, small"
C4,"SPC-3, R1, R2","Ideology validation is too thin: only 200 labeled replies, no class-specific or platform-specific performance reported.",High,"We currently have validation on a sample of 200. We will do a fine-grained analysis on these and, most importantly, we will do a noise analysis.",Done in part
C5,"SPC-3, R2","The center category may mix genuinely centrist, mixed, and uncertain users.",High,Define center explicitly in the text (it is a residual: users below the left or right threshold) and rerun the main models excluding center users to show the conclusions hold.,"Yes, small"
C6,"SPC-3, R1",Show the findings survive plausible ideology label noise.,High,"Use the measured confusion matrix to simulate label errors at the observed rates, rerun the composition and alignment models, and show the conclusions are stable. The measured errors go in the direction R1 suspected (model over-assigns left on TS and right on Bluesky), so this directly answers them with numbers.","Yes, moderate"
C7,R1,The left share on Truth Social and right share on Bluesky look too high compared to prior work (Bovet team's Bluesky paper).,High,"Add a paragraph: our sample is Biden/Trump-mention activity during the campaign, not the whole platform, so the mix should differ from platform-wide estimates. Pair it with noise-corrected prevalence estimates from C6.",Uses C6
C8,"SPC-4, R2, R3","Alignment is computed from the same reply edges it is supposed to explain, so causal language is too strong.",High,"Replace 'explains' with 'is associated with' or 'statistically accounts for' throughout, and add a paragraph discussing the two-way relationship (deep versus star-shaped cascades offer different chances for cross-ideology contact).",No (optional extra)
C9,"SPC-5, R1","Readable descriptive statistics are missing: how many posts, cascades, cascades by size, per platform.",High,"Add a descriptive table: posts, users, cascades, and cascade counts by size bin, per platform and cascade type.","No, numbers exist"
C10,R1,"Report raw motif counts, not just z-scores.",Medium,Add a table of raw counts next to the z-scores. The counts already exist as pipeline output files.,"No, numbers exist"
C11,R1,Motifs overlap (a chain of 4 contains two chains of 3). Does the null model account for that?,Medium,"Explain in the text: the null model randomizes and recounts the same way, so overlapping motifs occur in both the observed and randomized graphs and the z-scores compare like with like. State the randomization procedure precisely.",No
C12,"SPC-6, R2",Main text says robust regression with Huber loss; appendix says OLS with HC3 errors. Which is it?,High,I used robust regression (Huber). I will fix it,No
C13,"SPC-7, R2, R3, R1",One month of Biden/Trump content in an unusual election period: what generalizes? What do broad/shallow versus narrow/deep structures actually imply?,High,"Rewrite the discussion: state what we claim generalizes (structural signatures of ideologically sorted versus mixed platforms) versus what is context-bound, and spell out the practical meaning of the two conversation shapes.",No
C14,R1,Excluding influencers only on Truth Social is poorly justified. Why not the top n percent on both platforms?,Medium,"I would push back with evidence rather than rerun the analysis. Our data show the two platforms' follower distributions are not comparable at the top. The largest Truth Social account (Trump, 7.1M followers) has 56 times the followers of the platform's own 99.9th percentile account, and the top 8 accounts hold 16 percent of all followers in our data. On Bluesky the largest account is only 5 times above the 99.9th percentile, and the top 8 hold 6 percent. Even the 8th largest Truth Social account is bigger than the largest Bluesky account. In short, Truth Social has a separated class of dominant accounts and Bluesky does not, so a symmetric top n percent rule would remove ordinary Bluesky accounts just to mirror something that only exists on Truth Social. We will add these numbers to the appendix next to the follower CCDF and explain this in the response letter.","Yes, small"
C15,R1,How many reply chains are just two users going back and forth?,Medium,"We can count the share of reply chains that alternate between the same two accounts, per platform, and report it.","Yes, small"
C16,R1,More detail on topic modeling; BERTopic often puts half of short posts in the outlier group.,Medium,"Report corpus sizes, the outlier share, topic counts, and example topics per platform. The numbers exist in the saved model outputs.","No, numbers exist"
C17,R1,The alignment results are hard to follow.,Medium,Rewrite that subsection with a worked example and a plain definition of alignment ratio; define all notation at first use.,No
C18,"SPC-5, R1","Figures are messy: overlapping labels, unclear quantities.",Medium,"Well, I invested a lot of time on figures, but it still doesn't seem to satisfy the Reviewers. I will ask Claude to help me with the quality of the figures then.",No
C19,R1,Citations are dated; add recent information-spreading work.,Medium,"Add 2023 to 2026 papers on cascades and newer platforms, including the Bovet team's Bluesky paper.",No
C20,R1,Unexplained notation; stray paragraph indents in the LaTeX.,Low,Notation pass (define at first use) and fix the indentation.,No
C21,R1,Another US-centric paper.,Low,Acknowledge in limitations; note non-US extension as future work. No analysis change.,No
