,truth,bluesky,mastodon,truth_response,bluesky_response,mastodon_response,truth_Narrative_Frame,truth_Main_Subject,truth_Stance_toward_main_subject,truth_Topic_Focus,bluesky_Narrative_Frame,bluesky_Main_Subject,bluesky_Stance_toward_main_subject,bluesky_Topic_Focus,mastodon_Narrative_Frame,mastodon_Main_Subject,mastodon_Stance_toward_main_subject,mastodon_Topic_Focus,mastodon_Stance_toward_Main_Subject,truth_Explanation,bluesky_Stance_toward_Main_Subject
1,"[""Trump knocks report, says he has 'never even thought' of bringing back mandatory military service"", ""'Just another fake story': Trump responds to 'fake news' report that said he'd look to implement mandatory military service."", 'The Fake News Washington Post came up with the ridiculous idea that Donald J. Trump will call for Mandatory Military Service. This is only a continuation of their EIGHT YEAR failed attempt to damage me with the Voters. The Story is completely untrue. In fact, I never even thought of that idea. Only a degenerate former Newspaper, which has lost 50% of its Readers, would fabricate such a tale. Just another Fake Story, one of many, made up by the DEAD Washington Compost!', '""The Fake News Washington Post came up with the ridiculous idea that Donald J. Trump will call for Mandatory Military Service,"" Trump wrote in a TRUTH Social post. ""This is only a continuation of their EIGHT YEAR failed attempt to damage me with the Voters.""', 'Trump shoots down suggestions he would institute mandatory military service', ""Trump refutes outlandish 'Fake News' about mandatory military service""]","[""Trump: Mandatory Military Service Report 'Ridiculous'"", 'Trump Lashes Out Over Report He’d Enforce Mandatory Military Service.\n\nnewrepublic.com', ""I don't know why Donald Trump is so gung-ho about mandatory military service when this stupid cowardly motherfucker never served in the military himself"", ""The chief reason trump. Vance, et al are thinking of mandatory national service is that they want to get 18-22yo's out of college, away from learning & thinking, indoctrinated and worn down."", '@Forbes: Trump Hits Back At Claims He’d Consider Mandatory Military Service\nhttps://t.co/km1qxJeUmh https://t.co/0EYMay590j']","['“Influential figures in Donald Trump’s orbit, including his former acting defense secretary, have proposed making military service mandatory,” the Washington Post reports. Said Christopher Miller: “It reinforces the bonds of civility. Why wouldn’t we give that a try?”']","```json
{
  ""Narrative Frame"": ""Media Bias"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Institutional (specifically, targeting a news organization)""
}
```","```json
{
  ""Narrative Frame"": ""Personal Attack/Character Assassination"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Personal Attack""
}
```","```json
{
  ""Narrative Frame"": ""Policy Proposal/National Service"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Neutral/Reporting"",
  ""Topic Focus"": ""Institutional/Policy""
}
```",Media Bias,Trump,Supportive,"Institutional (specifically, targeting a news organization)",Personal Attack/Character Assassination,Donald Trump,Critical,Personal Attack,Policy Proposal/National Service,Donald Trump,Neutral/Reporting,Institutional/Policy,,,
2,"['Trump says there is great unity in the GOP after meeting with Republican senators', ""WATCH: Trump Says 'There's Tremendous Unity' In The Republican Party Ahead Of November"", ""WATCH: Trump Says 'There's Tremendous Unity' In The Republican Party Ahead Of November"", ""BREAKING NEWS: Trump Touts 'Tremendous Unity' In GOP At Press Briefing With Senate Republicans"", ""WATCH: Trump Says 'There's Tremendous Unity' In The Republican Party Ahead Of November"", 'Trump flaunts GOP unity after meeting with Republican Senators', 'Trump says there is great unity in the GOP after meeting with Republican senators', ""Q anon76: BREAKING NEWS: Trump Touts 'Tremendous Unity' In GOP At Press Briefing With Senate Republicans""]","[""Trump claims 'great unity' after talks with congressional GOP • Alabama Reflector - Alabama Reflector"", ""Trump: There's tremendous unity in the Republican Party"", 'Trump hails GOP ‘unity’ after meeting with lawmakers - NewsNation Now', ""Elections 2024 live updates: Trump touts 'tremendous unity' after GOP meetings on Hill - The Washington Post"", ""Trump claims 'great unity' after talks with congressional GOP • Idaho Capital Sun - Idaho Capital Sun"", ""Trump touts 'tremendous unity' after GOP meetings on Hill - The Washington Post""]","['Politico: “Trump’s grand return to the Hill was a bolt of much-needed energy for the congressional GOP, particularly weary Republicans on the House side who’ve been dogged by infighting and are now at real risk of losing their majority in November.” “And it served as a highly choreographed unity moment, complete with a press conference with GOP […]', 'Trump Claims ‘great unity’ After Talks With Congressional GOP']","```json
{
  ""Narrative Frame"": ""Political Unity/Strength"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Institutional (party politics)""
}
```","```json
{
  ""Narrative Frame"": ""Political Unity/Party Cohesion"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Neutral (reporting claims)"",
  ""Topic Focus"": ""Institutional (focus on party dynamics and political alignment)""
}
```","```json
{
  ""Narrative Frame"": ""Political Performance/Leadership"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Institutional (Congressional GOP) & Political Performance""
}
```",Political Unity/Strength,Trump,Supportive,Institutional (party politics),Political Unity/Party Cohesion,Trump,Neutral (reporting claims),Institutional (focus on party dynamics and political alignment),Political Performance/Leadership,Donald Trump,Supportive,Institutional (Congressional GOP) & Political Performance,,,
9,"[""Let's go Trump 💯💯💯"", 'DO IT NOW TRUMP!!!!!!', 'BRING BACK TRUMP!! ♥️🇺🇸', 'BRING TRUMP BACK!', 'BRING TRUMP BACK!', 'Go President Trump.', 'TRUMP: HERE WE GO AGAIN!', 'Do it, Trump!', 'Let’s go Trump!']","['Do Trump next! Again and again!', 'Ooh now do Trump', 'SUCK IT TRUMP!', 'Cool. Now do Trump.', 'Now do Trump.', 'Now let’s do trump.']",['Now do Trump...Again.'],"```json
{
  ""Narrative Frame"": ""Hope/Restoration"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Supportive"",
  ""Topic Focus"": ""Institutional (implicit call for political action/return to power)""
}
```","```json
{
  ""Narrative Frame"": ""Persecution/Retribution (framed as justified)"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Highly Critical/Hostile"",
  ""Topic Focus"": ""Personal Attack/Direct Condemnation""
}
```","```json
{
  ""Narrative Frame"": ""Persecution/Double Standard"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Legal""
}
```
",Hope/Restoration,Trump,Supportive,Institutional (implicit call for political action/return to power),Persecution/Retribution (framed as justified),Donald Trump,Highly Critical/Hostile,Personal Attack/Direct Condemnation,Persecution/Double Standard,Donald Trump,Critical,Legal,,,
11,"['Melania Trump to host $100,000-a-head fundraiser for Republican LGBTQ group at Trump Tower in rare political appearance', 'Melania Trump hosting second fundraiser for Log Cabin Republicans in July', 'Melania Trump hosting second fundraiser for Log Cabin Republicans in July', ""All In For A Second Term: Former First Lady Melania Trump hosts her second fundraiser for her husband's re-election bid."", 'Melania Trump to hold a second fundraiser for Log Cabin Republicans', 'Melania Trump hosting second fundraiser for Log Cabin Republicans in July', 'Melania Trump set to host second fundraiser with LGBT group at Trump Tower']","['Melania Trump set to host a second fundraiser for Log Cabin Republicans next month (Alex Isenstadt/Politico)\n\nMain Link | memeorandum Permalink', 'Melania Trump to host another fundraiser for the Log Cabin Republicans in her residence at Trump Tower. https://www.politico.com/news/2024/06/17/melania-trump-log-cabin-fundraiser-new-york-city-00163789', ""The Log Cabin Republicans should be asking themselves why they aligned with Trump's campaign and had Melania as a guest of honour at a fundraiser.\n\nBut they probably wont.\n\nepgn.com/2024/05/15/t..."", 'Melania Trump to Host 2nd Event With Log Cabin Republicans']","['Melania Trump to host another fundraiser for the Log Cabin Republicans in her residence at Trump Tower.', 'From the Annals of WTF: Yes, there really is a # queer # Republican organization and Melania is hosting a fundraiser with them at # Trump Tower. 🤮']","```json
{
  ""Narrative Frame"": ""Political Fundraising/Campaign Finance"",
  ""Main Subject"": ""Melania Trump"",
  ""Stance toward main subject"": ""Neutral"",
  ""Topic Focus"": ""Institutional/Political""
}
```","```json
{
  ""Narrative Frame"": ""Political Alignment/Strategic Decision"",
  ""Main Subject"": ""Melania Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional (Political Party Alignment & Fundraising)""
}
```","```json
{
  ""Narrative Frame"": ""Political Commentary/Social Observation"",
  ""Main Subject"": ""Melania Trump"",
  ""Stance toward main subject"": ""Critical/Disapproving"",
  ""Topic Focus"": ""Political/Institutional""
}
```",Political Fundraising/Campaign Finance,Melania Trump,Neutral,Institutional/Political,Political Alignment/Strategic Decision,Melania Trump,Critical,Institutional (Political Party Alignment & Fundraising),Political Commentary/Social Observation,Melania Trump,Critical/Disapproving,Political/Institutional,,,
12,"[""America First Legal files FEC complaint against Biden and Bragg for 'illegal coordination' to get Trump""]","['Legal Group Files FEC Complaint on DA Bragg, Biden Campaign']","['Stephen Miller\'s little ""Legal Group"" Files FEC Complaint on DA Bragg, Biden Campaign | Newsmax.com']","```json
{
  ""Narrative Frame"": ""Legal Justice/Political Targeting/Corruption"",
  ""Main Subject"": ""Joe Biden & Alvin Bragg (indirectly Donald Trump)"",
  ""Stance toward main subject"": ""Critical (toward Biden and Bragg, implicitly supportive of Trump)"",
  ""Topic Focus"": ""Legal/Institutional""
}
```","```json
{
  ""Narrative Frame"": ""Legal Justice/Accountability & Potential Corruption"",
  ""Main Subject"": ""DA Alvin Bragg & Joe Biden (indirectly)"",
  ""Stance toward main subject"": ""Critical (towards Bragg, potentially Biden through association)"",
  ""Topic Focus"": ""Legal/Institutional (specifically campaign finance and FEC complaint)""
}
```","```json
{
  ""Narrative Frame"": ""Legal Justice/Political Accountability"",
  ""Main Subject"": ""Joe Biden"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Legal""
}
```",Legal Justice/Political Targeting/Corruption,Joe Biden & Alvin Bragg (indirectly Donald Trump),"Critical (toward Biden and Bragg, implicitly supportive of Trump)",Legal/Institutional,Legal Justice/Accountability & Potential Corruption,DA Alvin Bragg & Joe Biden (indirectly),"Critical (towards Bragg, potentially Biden through association)",Legal/Institutional (specifically campaign finance and FEC complaint),Legal Justice/Political Accountability,Joe Biden,Critical,Legal,,,
16,"['WATCH: “Paul Ryan, You’re a Piece of Garbage” – Rep. Troy Nehls Eviscerates Trump Hating RINO Paul Ryan, Says He Should be Kicked Out of Party After Ryan Says He Will Not Vote Trump in 2024', 'Rep Troy Nehls GOES OFF On Garbage Paul Ryan ""You\'re a piece of garbage... For Paul Ryan to say he\'s not voting for Donald Trump, that\'s the problem with some of our Republicans... Don\'t go spouting your mouth off and saying that you\'re a conservative.""', ""’re a piece of garbage': GOP Congressman SHREDS Paul Ryan for bashing Trump on Fox News - The Daily Bo Snerdley"", 'Rep. Nehls goes off: “Paul Ryan, you’re a piece of garbage. We should kick you out of the party...to say he’s not voting for Trump, that is the problem.” Who agrees?', 'WATCH: \\&#039;Paul Ryan, You\\&#039;re a Piece of Garbage\\&#039; – Rep. Troy Nehls Eviscerates Trump Hating RINO Paul Ryan, Says He Should be Kicked Out of Party After Ryan Says He Will Not Vote Trump in 2024', 'Rep. Troy Nehls (R-TX) exploded on former House Speaker and unabashed Trump hater Paul Ryan after he sat down for an interview with Fox Host Neil Cavuto Tuesday and revealed he will not support President Trump in the 2024 election.', ""'You’re a piece of garbage': GOP Congressman SHREDS Paul Ryan for bashing Trump on Fox News"", '‘You’re a Piece of Garbage’: Republican Congressman blasts Paul Ryan for trashing Trump on Fox News', 'You’re A Piece Of Garbage’: GOP Rep. Troy Nehls Rips Paul Ryan Over Statements On Trump # MAGA # Trump2024 # Truth', ""'YOU'RE A PIECE OF GARBAGE': GOP Rep Unloads on Paul Ryan for Anti-Trump Remarks""]","['GOP rep calls Paul Ryan ‘piece of garbage’ over Trump remarks - The Hill', 'www.rawstory.com/troy-nehls-m...\nHe’s a fraud like most of the GOP', 'GOP Rep. Troy Nehls Calls Paul Ryan ‘A Piece Of Garbage’ For Pledging To Not Vote Trump\n\n#politics #TroyNehls #PaulRyan #GOP', ""Rep. Nehls: Paul Ryan 'Piece of Garbage' for Trump Snub"", 'Former Speaker of the House Paul Ryan speaks out against Trump. Trump loyalist Representative Troy Nehls calls Ryan “a piece of garbage.“ Should we feel any sympathy for Ryan or hold him up as some sort of example? Nah. He’s just going... \nwww.msnbc.com/rachel-maddo...', 'Rep. Troy Nehls (R-Texas) called former Speaker Paul Ryan (R) a “piece of garbage” after Ryan called former President Trump “unfit for office” and vowed not to vote for him in November, in an interview earlier Tuesday.']","['""GOP Lawmaker Explodes With Threats Over Paul Ryan\'s Criticism Of Donald Trump"" ""Rep. Troy Nehls (R-Texas) had a meltdown over the former House speaker’s recent condemnation of the ex-president."" GOP # politics # cannibals # republicans # paulryan # trump # troynehls']","```json
{
  ""Narrative Frame"": ""Political Loyalty/Disloyalty"",
  ""Main Subject"": ""Paul Ryan"",
  ""Stance toward main subject"": ""Highly Critical"",
  ""Topic Focus"": ""Institutional/Political - specifically intra-party conflict and loyalty to a political figure (Trump)""
}
```","```json
{
  ""Narrative Frame"": ""Political Disagreement/Factionalism"",
  ""Main Subject"": ""Paul Ryan"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional/Political""
}
```","```json
{
  ""Narrative Frame"": ""Political Conflict/Party Infighting"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Indirectly Critical (through criticism of those defending him)"",
  ""Topic Focus"": ""Institutional/Political""
}
```",Political Loyalty/Disloyalty,Paul Ryan,Highly Critical,Institutional/Political - specifically intra-party conflict and loyalty to a political figure (Trump),Political Disagreement/Factionalism,Paul Ryan,Critical,Institutional/Political,Political Conflict/Party Infighting,Donald Trump,Indirectly Critical (through criticism of those defending him),Institutional/Political,,,
17,"['Trump Mocks Biden Wandering Around Aimlessly', ""Body language expert's brutal take on Biden's debate against Trump: 'like a dead man walking' | Fox News"", ""Body language expert's brutal take on Biden's debate against Trump: 'Like a dead man walking'""]","[""look at trump's insane body language when Biden counterattacks"", 'I can hardly wait for the body language analysis of Trump during this debate. I’m no expert but I can clearly see he’s seething and lying.']","['A Body Language Expert Watched the Debate. Here’s What He Noticed.', 'A Body Language Expert Watched the Debate. Here’s What He Noticed.']","```json
{
  ""Narrative Frame"": ""Media Bias & Personal Attack"",
  ""Main Subject"": ""Joe Biden"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Personal Attack""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias / Performance Framing"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Cultural / Personal Attack (through body language interpretation)""
}
```","```json
{
  ""Narrative Frame"": ""Media Bias / Interpretation"",
  ""Main Subject"": ""Debate (implicitly Biden & Trump)"",
  ""Stance toward main subject"": ""Neutral (presents an interpretation, doesn't explicitly endorse or condemn)"",
  ""Topic Focus"": ""Cultural (focuses on non-verbal communication and interpretation of it, a cultural analysis)""
}
```",Media Bias & Personal Attack,Joe Biden,Critical,Personal Attack,Media Bias / Performance Framing,Trump,Critical,Cultural / Personal Attack (through body language interpretation),Media Bias / Interpretation,Debate (implicitly Biden & Trump),"Neutral (presents an interpretation, doesn't explicitly endorse or condemn)","Cultural (focuses on non-verbal communication and interpretation of it, a cultural analysis)",,,
18,['Oh really?'],"['Really?', 'Really?']",['Really?'],"```json
{
  ""Narrative Frame"": ""Unclear, potentially skepticism/challenge"",
  ""Main Subject"": ""Unclear"",
  ""Stance toward main subject"": ""Neutral/Skeptical (depending on context - lacks specifics)"",
  ""Topic Focus"": ""Unclear - lacks context to determine focus. Could be legal, political, or personal.""
}
```","```json
{
  ""Narrative Frame"": ""Unclear, potentially skepticism/disbelief. Could be linked to corruption or legal justice depending on context."",
  ""Main Subject"": ""Unclear - requires external context. Could be referring to any public figure or event."",
  ""Stance toward main subject"": ""Unclear - The brevity suggests a questioning or critical stance, but without context it's impossible to determine what is being questioned or criticized."",
  ""Topic Focus"": ""Unclear - Due to the lack of specifics, it's impossible to determine the topic focus. It *could* be legal, institutional or related to a cultural issue, but that requires further information.""
}
```","```json
{
  ""Narrative Frame"": ""Unclear - Potentially Disbelief/Outrage (could relate to various frames depending on context)"",
  ""Main Subject"": ""Unclear - Dependent on external context (the post itself doesn't specify)"",
  ""Stance toward main subject"": ""Unclear - The brevity makes it impossible to determine. Could be supportive, critical, or sarcastic."",
  ""Topic Focus"": ""Unclear - Without context, it's impossible to determine if the focus is legal, cultural, institutional, or a personal attack. It's simply an expression of reaction.""
}
```","Unclear, potentially skepticism/challenge",Unclear,Neutral/Skeptical (depending on context - lacks specifics),"Unclear - lacks context to determine focus. Could be legal, political, or personal.","Unclear, potentially skepticism/disbelief. Could be linked to corruption or legal justice depending on context.",Unclear - requires external context. Could be referring to any public figure or event.,"Unclear - The brevity suggests a questioning or critical stance, but without context it's impossible to determine what is being questioned or criticized.","Unclear - Due to the lack of specifics, it's impossible to determine the topic focus. It *could* be legal, institutional or related to a cultural issue, but that requires further information.",Unclear - Potentially Disbelief/Outrage (could relate to various frames depending on context),Unclear - Dependent on external context (the post itself doesn't specify),"Unclear - The brevity makes it impossible to determine. Could be supportive, critical, or sarcastic.","Unclear - Without context, it's impossible to determine if the focus is legal, cultural, institutional, or a personal attack. It's simply an expression of reaction.",,,
19,['Biden Campaign Releases Bilingual Ad Featuring DACA Recipients Attacking Trump (VIDEO)'],['Biden campaign hits Trump with bilingual video on DACA anniversary - The Hill'],['Biden campaign hits Donald Trump with bilingual video on DACA anniversary'],"```json
{
  ""Narrative Frame"": ""Political Campaign/Attack Ad"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Political/Campaign""
}
```","```json
{
  ""Narrative Frame"": ""Political Campaigning/Messaging"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Political/Institutional (Specifically, campaign strategy and immigration policy)""
}
```","```json
{
  ""Narrative Frame"": ""Political Campaign/Electioneering"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional (Campaign Strategy & Political Messaging)""
}
```",Political Campaign/Attack Ad,Donald Trump,Critical,Political/Campaign,Political Campaigning/Messaging,Donald Trump,Critical,"Political/Institutional (Specifically, campaign strategy and immigration policy)",Political Campaign/Electioneering,Donald Trump,Critical,Institutional (Campaign Strategy & Political Messaging),,,
23,"['🔴 Rachel Maddow Reveals Eyebrow-Raising Fear if Trump Becomes President', '🔴 Rachel Maddow Reveals Eyebrow-Raising Fear if Trump Becomes President', ""He's going full Jim Jones': Rachel Maddow and The View share new Trump fear Sarah K. Burris June 18, 2024 12:24PM ET"", 'Rachel Maddow Reveals Eyebrow-Raising Fear if Trump Becomes President', '🔴 Rachel Maddow Reveals Eyebrow-Raising Fear if Trump Becomes President', ""Here's What Rachel Maddow Is Worried Trump Will Do If Elected"", '🔴 Rachel Maddow Reveals Eyebrow-Raising Fear if Trump Becomes President', '🔴 Rachel Maddow Reveals Eyebrow-Raising Fear if Trump Becomes President']","['www.msnbc.com/rachel-maddo...', '‘He’s going full Jim Jones’: Rachel Maddow and The View share new Trump fear.\n\nhttps://www.byteseu.com/200983/\n\n‘He’s going full Jim Jones’: Rachel Maddow and The View share new Trump fear. https://www.rawstory.com/trump-cult-jim-jones/', 'www.msnbc.com/rachel-maddo...', 'www.msnbc.com/rachel-maddo...', ""President Biden needs to relax and let Rachel Maddow put the stake in Trump's heart."", 'www.msnbc.com/rachel-maddo...', ""'He's going full Jim Jones': Rachel Maddow and The View share new Trump fear\n"", 'www.msnbc.com/rachel-maddo...']","[""'He's going full Jim Jones': Rachel Maddow and The View share new Trump fear - Raw Story""]","```json
{
  ""Narrative Frame"": ""Potential Threat/Authoritarianism"",
  ""Main Subject"": ""Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Political/Institutional (specifically, concerns about future governance)""
}
```","```json
{
  ""Narrative Frame"": ""Cult of Personality/Authoritarianism"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical"",
  ""Topic Focus"": ""Institutional/Political (specifically referencing media coverage and perceived threat to democracy)""
}
```","```json
{
  ""Narrative Frame"": ""Persecution/Fearmongering & Moral Panic"",
  ""Main Subject"": ""Donald Trump"",
  ""Stance toward main subject"": ""Critical (highly negative, uses inflammatory comparison)"",
  ""Topic Focus"": ""Media Bias/Cultural (focuses on media portrayal and implicitly, cultural anxieties surrounding Trump)""
}
```",Potential Threat/Authoritarianism,Trump,Critical,"Political/Institutional (specifically, concerns about future governance)",Cult of Personality/Authoritarianism,Donald Trump,Critical,Institutional/Political (specifically referencing media coverage and perceived threat to democracy),Persecution/Fearmongering & Moral Panic,Donald Trump,"Critical (highly negative, uses inflammatory comparison)","Media Bias/Cultural (focuses on media portrayal and implicitly, cultural anxieties surrounding Trump)",,,
