,response
1,"truth_Narrative_Frame                                                         Media Bias
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically, targeting a news ...
bluesky_Narrative_Frame                          Personal Attack/Character Assassination
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                      Personal Attack
mastodon_Narrative_Frame                                Policy Proposal/National Service
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                    Neutral/Reporting
mastodon_Topic_Focus                                                Institutional/Policy
dtype: object"
2,"truth_Narrative_Frame                                           Political Unity/Strength
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                                         Institutional (party politics)
bluesky_Narrative_Frame                                   Political Unity/Party Cohesion
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject                            Neutral (reporting claims)
bluesky_Topic_Focus                    Institutional (focus on party dynamics and pol...
mastodon_Narrative_Frame                                Political Performance/Leadership
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                           Supportive
mastodon_Topic_Focus                   Institutional (Congressional GOP) & Political ...
dtype: object"
9,"truth_Narrative_Frame                                                   Hope/Restoration
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (implicit call for political act...
bluesky_Narrative_Frame                    Persecution/Retribution (framed as justified)
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                               Highly Critical/Hostile
bluesky_Topic_Focus                                  Personal Attack/Direct Condemnation
mastodon_Narrative_Frame                                     Persecution/Double Standard
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                               Legal
dtype: object"
11,"truth_Narrative_Frame                             Political Fundraising/Campaign Finance
truth_Main_Subject                                                         Melania Trump
truth_Stance_toward_main_subject                                                 Neutral
truth_Topic_Focus                                                Institutional/Political
bluesky_Narrative_Frame                           Political Alignment/Strategic Decision
bluesky_Main_Subject                                                       Melania Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (Political Party Alignment & Fun...
mastodon_Narrative_Frame                         Political Commentary/Social Observation
mastodon_Main_Subject                                                      Melania Trump
mastodon_Stance_toward_main_subject                                Critical/Disapproving
mastodon_Topic_Focus                                             Political/Institutional
dtype: object"
12,"truth_Narrative_Frame                       Legal Justice/Political Targeting/Corruption
truth_Main_Subject                     Joe Biden & Alvin Bragg (indirectly Donald Trump)
truth_Stance_toward_main_subject       Critical (toward Biden and Bragg, implicitly s...
truth_Topic_Focus                                                    Legal/Institutional
bluesky_Narrative_Frame                Legal Justice/Accountability & Potential Corru...
bluesky_Main_Subject                             DA Alvin Bragg & Joe Biden (indirectly)
bluesky_Stance_toward_main_subject     Critical (towards Bragg, potentially Biden thr...
bluesky_Topic_Focus                    Legal/Institutional (specifically campaign fin...
mastodon_Narrative_Frame                          Legal Justice/Political Accountability
mastodon_Main_Subject                                                          Joe Biden
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                               Legal
dtype: object"
16,"truth_Narrative_Frame                                       Political Loyalty/Disloyalty
truth_Main_Subject                                                             Paul Ryan
truth_Stance_toward_main_subject                                         Highly Critical
truth_Topic_Focus                      Institutional/Political - specifically intra-p...
bluesky_Narrative_Frame                              Political Disagreement/Factionalism
bluesky_Main_Subject                                                           Paul Ryan
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                              Institutional/Political
mastodon_Narrative_Frame                             Political Conflict/Party Infighting
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject    Indirectly Critical (through criticism of thos...
mastodon_Topic_Focus                                             Institutional/Political
dtype: object"
17,"truth_Narrative_Frame                                       Media Bias & Personal Attack
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                        Personal Attack
bluesky_Narrative_Frame                                 Media Bias / Performance Framing
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Cultural / Personal Attack (through body langu...
mastodon_Narrative_Frame                                     Media Bias / Interpretation
mastodon_Main_Subject                                  Debate (implicitly Biden & Trump)
mastodon_Stance_toward_main_subject    Neutral (presents an interpretation, doesn't e...
mastodon_Topic_Focus                   Cultural (focuses on non-verbal communication ...
dtype: object"
18,"truth_Narrative_Frame                          Unclear, potentially skepticism/challenge
truth_Main_Subject                                                               Unclear
truth_Stance_toward_main_subject       Neutral/Skeptical (depending on context - lack...
truth_Topic_Focus                      Unclear - lacks context to determine focus. Co...
bluesky_Narrative_Frame                Unclear, potentially skepticism/disbelief. Cou...
bluesky_Main_Subject                   Unclear - requires external context. Could be ...
bluesky_Stance_toward_main_subject     Unclear - The brevity suggests a questioning o...
bluesky_Topic_Focus                    Unclear - Due to the lack of specifics, it's i...
mastodon_Narrative_Frame               Unclear - Potentially Disbelief/Outrage (could...
mastodon_Main_Subject                  Unclear - Dependent on external context (the p...
mastodon_Stance_toward_main_subject    Unclear - The brevity makes it impossible to d...
mastodon_Topic_Focus                   Unclear - Without context, it's impossible to ...
dtype: object"
19,"truth_Narrative_Frame                                       Political Campaign/Attack Ad
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                     Political/Campaign
bluesky_Narrative_Frame                                  Political Campaigning/Messaging
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Political/Institutional (Specifically, campaig...
mastodon_Narrative_Frame                               Political Campaign/Electioneering
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional (Campaign Strategy & Political M...
dtype: object"
23,"truth_Narrative_Frame                                  Potential Threat/Authoritarianism
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Political/Institutional (specifically, concern...
bluesky_Narrative_Frame                             Cult of Personality/Authoritarianism
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional/Political (specifically referenc...
mastodon_Narrative_Frame                         Persecution/Fearmongering & Moral Panic
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject    Critical (highly negative, uses inflammatory c...
mastodon_Topic_Focus                   Media Bias/Cultural (focuses on media portraya...
dtype: object"
